post_id,city_name,post_status,_wp_page_template,post_category,post_title,ewg_utility_name,ewg_description,ewg_people,ewg_source,ewg_exceed_number,ewg_total_number,ewg_date,ewg_data_source,ewg_exceed,ewg_other
,Meade County,publish,usacitypage.php,"North America,United States of America,Kentucky",Is Meade County Tap Water Safe to Drink?,Meade County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14378,https://www.ewg.org/tapwater/system.php?pws=KY0820369,2,8,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","1%2C4-Dioxane,Chlorate,Chromium (total),Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Meadville,publish,usacitypage.php,"North America,United States of America,Pennsylvania",Is Meadville Tap Water Safe to Drink?,Meadville Area Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Pennsylvania Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,17339,https://www.ewg.org/tapwater/system.php?pws=PA6200036,5,11,2012-2017,Groundwater,"Bromodichloromethane,Bromoform,Chloroform,Dibromochloromethane,Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Chlorate,Fluoride,Haloacetic acids (HAA5),Nitrate,Nitrite,Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mebane,publish,usacitypage.php,"North America,United States of America,North Carolina",Is Mebane Tap Water Safe to Drink?,City of Graham,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the North Carolina Department of Environment and Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,15000,https://www.ewg.org/tapwater/system.php?pws=NC0201015,8,17,2012-2017,Surface water,"Bromodichloromethane,Chlorate,Chloroform,Dibromochloromethane,Dichloroacetic acid,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","1%2C4-Dioxane,Chromium (hexavalent),Fluoride,Haloacetic acids (HAA5),Manganese,Monochloroacetic acid,Simazine,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Medfield,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Medfield Tap Water Safe to Drink?,Medfield Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,12611,https://www.ewg.org/tapwater/system.php?pws=MA2175000,7,23,2012-2017,Groundwater,"Bromodichloromethane,Chromium (hexavalent),Dibromochloromethane,Nitrate,Radium%2C combined (-226 & -228),Tetrachloroethylene (perchloroethylene),Total trihalomethanes (TTHMs),,,,,,,,,,,,,","1%2C1-Dichloroethane,1%2C4-Dioxane,Bromoform,Chlorate,Chlorodifluoromethane,Chloroform,Chromium (total),Dibromoacetic acid,Dichloromethane (methylene chloride),Haloacetic acids (HAA5),Manganese,Perchlorate,Strontium,Trichloroacetic acid,Trichloroethylene,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Medford,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Medford Tap Water Safe to Drink?,Medford Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,56173,https://www.ewg.org/tapwater/system.php?pws=MA3176000,6,17,2012-2017,Purchased surface water,"Bromodichloromethane*,Chloroform*,Dibromochloromethane*,Dichloroacetic acid*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs)*,,,,,,,,,,,,,,","Aluminum*,Barium*,Bromide*,Chlorate,Fluoride*,Haloacetic acids (HAA5)*,Manganese*,Monochloroacetic acid*,Nitrate*,Strontium,Trichloroacetic acid*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6856,Medford,publish,usacitypage.php,"North America,United States of America,Oregon",Is Medford Tap Water Safe to Drink?,Medford Water Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Oregon Health Authority%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,89280,https://www.ewg.org/tapwater/system.php?pws=OR4100513,2,6,2012-2017,Surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Chlorate,Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Medford Twp.,publish,usacitypage.php,"North America,United States of America,New Jersey",Is Medford Twp. Tap Water Safe to Drink?,Medford Twp Department of Muni,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Jersey Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,17272,https://www.ewg.org/tapwater/system.php?pws=NJ0320001,5,20,2012-2017,Groundwater,"Arsenic,Bromodichloromethane,Chloroform,Dibromochloromethane,Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Aluminum,Barium,Bromoform,Chlorate,Dichloroacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Monochloroacetic acid,Nitrate,Nitrate and nitrite,Selenium,Silver,Strontium,Trichloroacetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Medina,publish,usacitypage.php,"North America,United States of America,Ohio",Is Medina Tap Water Safe to Drink?,Medina Co/Northwest PWS,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Ohio Environmental Protection Agency - Division of Drinking and Ground Waters%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,40029,https://www.ewg.org/tapwater/system.php?pws=OH5201903,7,17,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,","Bromoform,Chlorate,Chromium (total),Dibromoacetic acid,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Monochloroacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Medina County,publish,usacitypage.php,"North America,United States of America,Texas",Is Medina County Tap Water Safe to Drink?,Benton City WSC,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,17292,https://www.ewg.org/tapwater/system.php?pws=TX1630034,5,20,2012-2017,Groundwater,"Bromodichloromethane,Bromoform,Dibromochloromethane,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Barium,Bromochloroacetic acid,Chloroform,Dibromoacetic acid,Dichloroacetic acid,Ethylbenzene,Fluoride,Haloacetic acids (HAA5),Manganese,Molybdenum,Nitrate,Nitrate and nitrite,Strontium,Uranium,Xylenes (total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Medway,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Medway Tap Water Safe to Drink?,Medway Water and Sewer Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,13259,https://www.ewg.org/tapwater/system.php?pws=MA2177000,11,25,2012-2017,Groundwater,"Arsenic,Bromodichloromethane,Bromoform,Chloroform,Chromium (hexavalent),Dibromochloromethane,Manganese,Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,","1%2C4-Dioxane,Barium,Chlorate,Chlorodifluoromethane,Chloromethane,Cobalt,Dibromoacetic acid,Dichloroacetic acid,Fluoride,Haloacetic acids (HAA5),Perchlorate,Selenium,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Meigs County,publish,usacitypage.php,"North America,United States of America,Ohio",Is Meigs County Tap Water Safe to Drink?,Tupper Plains/Chester Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Ohio Environmental Protection Agency - Division of Drinking and Ground Waters%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,15602,https://www.ewg.org/tapwater/system.php?pws=OH5300612,7,15,2012-2017,Groundwater,"Bromodichloromethane,Bromoform,Chloroform,Dibromochloromethane,Nitrate,Nitrate and nitrite,Total trihalomethanes (TTHMs),,,,,,,,,,,,,","Barium,Chromium (hexavalent),Dibromoacetic acid,Dichloroacetic acid,Fluoride,Molybdenum,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6857,Melbourne,publish,usacitypage.php,"North America,United States of America,Florida",Is Melbourne Tap Water Safe to Drink?,City of Melbourne,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,162434,https://www.ewg.org/tapwater/system.php?pws=FL3051447,5,11,2012-2017,Surface water,"Arsenic,Chlorate,Chromium (hexavalent),Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Barium,Fluoride,Haloacetic acids (HAA5),Nitrate,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Melrose,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Melrose Tap Water Safe to Drink?,Melrose Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,27997,https://www.ewg.org/tapwater/system.php?pws=MA3178000,6,18,2012-2017,Purchased surface water,"Bromodichloromethane*,Chloroform*,Dibromochloromethane*,Dichloroacetic acid*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs)*,,,,,,,,,,,,,,","Aluminum*,Barium*,Bromide*,Chlorate,Chromium (hexavalent),Fluoride*,Haloacetic acids (HAA5)*,Manganese*,Monochloroacetic acid*,Nitrate*,Strontium,Trichloroacetic acid*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Melrose Park,publish,usacitypage.php,"North America,United States of America,Illinois",Is Melrose Park Tap Water Safe to Drink?,Melrose Park,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Illinois Environmental Protection Agency%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,22700,https://www.ewg.org/tapwater/system.php?pws=IL0311860,10,22,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate*,Nitrate and nitrite*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,","4-Androstene-3%2C17-dione*,Barium*,Chlorodifluoromethane,Chromium (total),Dibromoacetic acid,Fluoride*,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Strontium,Testosterone*,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Melvindale,publish,usacitypage.php,"North America,United States of America,Michigan",Is Melvindale Tap Water Safe to Drink?,Melvindale,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Michigan Department of Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,10715,https://www.ewg.org/tapwater/system.php?pws=MI0004220,2,6,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Chromium (total),Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6858,Memphis,publish,usacitypage.php,"North America,United States of America,Tennessee",Is Memphis Tap Water Safe to Drink?,Memphis Light%2C Gas%2C & Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,781492,https://www.ewg.org/tapwater/system.php?pws=TN0000450,2,10,2012-2017,Groundwater,"Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","1%2C4-Dioxane,Bromodichloromethane,Chlorate,Chromium (hexavalent),Dibromochloromethane,Haloacetic acids (HAA5),Nitrate,Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Menasha,publish,usacitypage.php,"North America,United States of America,Wisconsin",Is Menasha Tap Water Safe to Drink?,Appleton Waterworks,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Wisconsin Department of Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,72000,https://www.ewg.org/tapwater/system.php?pws=WI4450333,8,20,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Aluminum,Barium,Chlorate,Chromium (total),Dibromoacetic acid,Dibromochloromethane,Fluoride,Haloacetic acids (HAA5),Manganese,Monochloroacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mendota,publish,usacitypage.php,"North America,United States of America,California",Is Mendota Tap Water Safe to Drink?,City of Mendota,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,11104,https://www.ewg.org/tapwater/system.php?pws=CA1010021,5,20,2012-2017,Groundwater,"Arsenic,Bromodichloromethane,Bromoform,Dibromochloromethane,Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Aluminum,Bromide,Chlorate,Dacthal,Dibromoacetic acid,Dichloroacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Molybdenum,Monobromoacetic acid,o-Dichlorobenzene,Strontium,Trichloroacetic acid,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Menlo Park,publish,usacitypage.php,"North America,United States of America,California",Is Menlo Park Tap Water Safe to Drink?,City of Menlo Park,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14139,https://www.ewg.org/tapwater/system.php?pws=CA4110017,6,15,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","Aluminum*,Bromide*,Bromochloroacetic acid,Chlorate,Fluoride*,Haloacetic acids (HAA5),Molybdenum*,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Menomonee Falls,publish,usacitypage.php,"North America,United States of America,Wisconsin",Is Menomonee Falls Tap Water Safe to Drink?,Menomonee Falls WW - Surface Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Wisconsin Department of Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,23867,https://www.ewg.org/tapwater/system.php?pws=WI2680082,9,32,2012-2017,Purchased surface water,"Arsenic*,Bromate*,Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Nitrate and nitrite*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs),,,,,,,,,,,","Aldicarb sulfoxide*,Aluminum*,Antimony*,Atrazine*,Barium*,Bromoform,Chlorate,Chloromethane,Chromium (total),Desethylatrazine*,Dibromoacetic acid,Dichloroacetic acid,Fluoride*,Haloacetic acids (HAA5),Manganese*,Molybdenum,Monobromoacetic acid,Monochloroacetic acid,Nitrate,Strontium,Trichloroacetic acid,Vanadium,Xylenes (total)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Menomonie,publish,usacitypage.php,"North America,United States of America,Wisconsin",Is Menomonie Tap Water Safe to Drink?,Menomonie Waterworks,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Wisconsin Department of Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,15950,https://www.ewg.org/tapwater/system.php?pws=WI6170268,6,20,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Dibromochloromethane,Radium%2C combined (-226 & -228),Tetrachloroethylene (perchloroethylene),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,","Barium,Bromoform,Chromium (hexavalent),Dibromoacetic acid,Dichloroacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Monobromoacetic acid,Nitrate,Silver,Strontium,Trichloroacetic acid,Trichloroethylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mentor,publish,usacitypage.php,"North America,United States of America,Ohio",Is Mentor Tap Water Safe to Drink?,Aqua Ohio Inc. - Mentor,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Ohio Environmental Protection Agency - Division of Drinking and Ground Waters%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,83000,https://www.ewg.org/tapwater/system.php?pws=OH4301511,8,21,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Barium,Bromoform,Chlorate,Chromium (total),Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Monochloroacetic acid,Nitrate,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mequon,publish,usacitypage.php,"North America,United States of America,Wisconsin",Is Mequon Tap Water Safe to Drink?,Mequon Water Utility,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Wisconsin Department of Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,11152,https://www.ewg.org/tapwater/system.php?pws=WI2460112,5,10,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Bromoform,Dibromoacetic acid,Haloacetic acids (HAA5),Monobromoacetic acid,Trichloroacetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6859,Merced,publish,usacitypage.php,"North America,United States of America,California",Is Merced Tap Water Safe to Drink?,City of Merced,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,81130,https://www.ewg.org/tapwater/system.php?pws=CA2410009,7,25,2012-2017,Groundwater,"Arsenic,Chromium (hexavalent),Nitrate,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Uranium,,,,,,,,,,,,,","1%2C4-Dioxane,Aluminum,Barium,Bromodichloromethane,Bromoform,Chlorate,Chlorodifluoromethane,Chloroform,Chloromethane,Chromium (total),Dibromochloromethane,Fluoride,Manganese,Molybdenum,Strontium,Tetrachloroethylene (perchloroethylene),Trichloroethylene,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mercedes,publish,usacitypage.php,"North America,United States of America,Texas",Is Mercedes Tap Water Safe to Drink?,City of Mercedes,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,15700,https://www.ewg.org/tapwater/system.php?pws=TX1080007,12,26,2012-2017,Surface water,"Arsenic,Bromodichloromethane,Bromoform,Carbon tetrachloride,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,","Aluminum,Barium,Bromochloroacetic acid,Cyanide,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Hexadecanoic acid,Manganese,Molybdenum,Monobromoacetic acid,Selenium,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mercer County,publish,usacitypage.php,"North America,United States of America,Kentucky",Is Mercer County Tap Water Safe to Drink?,North Mercer Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,12884,https://www.ewg.org/tapwater/system.php?pws=KY0840321,2,8,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Chlorate,Chromium (total),Haloacetic acids (HAA5),Molybdenum,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mercer County,publish,usacitypage.php,"North America,United States of America,Pennsylvania",Is Mercer County Tap Water Safe to Drink?,Aqua Pa Shenango Valley WTP,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Pennsylvania Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,48000,https://www.ewg.org/tapwater/system.php?pws=PA6430054,9,19,2012-2017,Surface water,"Arsenic,Bromodichloromethane,Chlorite,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,","Atrazine,Barium,Chromium (total),Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Monobromoacetic acid,Monochloroacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Mercer Island,publish,usacitypage.php,"North America,United States of America,Washington",Is Mercer Island Tap Water Safe to Drink?,City of Mercer Island,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,22720,https://www.ewg.org/tapwater/system.php?pws=WA5353640,6,20,2012-2017,Purchased groundwater,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","Bromate*,Bromide*,Bromochloroacetic acid,Chlorate*,Chromium (total)*,DCPA di-acid degradate*,Dibromoacetic acid*,Dibromochloromethane*,Haloacetic acids (HAA5),Monochloroacetic acid,Nitrate*,Nitrite*,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
